ID#	1							
Name	2_3-dinor-8-iso-PGF2a							
	Data Filename	Sample Type	Ret. Time	Area	S/N	ISTD Area	ISTD Ret.Time	Date Acquired
1	PR01_EXAMPLE_AAC_0002BLANK_B2.lcd	Unknown	-----	333	-----	220	4,674	13/03/15 22:33
2	PR01_EXAMPLE_AAC_0002QC_H2.lcd	Unknown	3,217	2101	59,81	1129	4,577	13/03/15 22:47
3	PR01_EXAMPLE_AAC_0003BLANK_A1.lcd	Unknown	-----	75	-----	-----	-----	12/03/15 20:37
4	PR01_EXAMPLE_AAC_0003BLANK_A2.lcd	Unknown	-----	133	-----	-----	-----	12/03/15 23:01
5	PR01_EXAMPLE_AAC_0003BLANK_B1.lcd	Unknown	-----	214	-----	-----	-----	13/03/15 19:40
6	PR01_EXAMPLE_AAC_0003BLANK_B2.lcd	Unknown	3,29	500	9	-----	-----	13/03/15 22:04
7	PR01_EXAMPLE_AAC_0003CAL0_A1.lcd	Unknown	3,236	1801	23,31	-----	-----	12/03/15 21:06
8	PR01_EXAMPLE_AAC_0003CAL0_A2.lcd	Unknown	3,213	2349	25,57	8152	4,434	13/03/15 20:09
9	PR01_EXAMPLE_AAC_0003CAL1_A1.lcd	Unknown	3,496	277	0,19	41968	4,878	12/03/15 21:20
10	PR01_EXAMPLE_AAC_0003CAL1_A2.lcd	Unknown	3,275	5371	43,79	20241	4,439	13/03/15 20:23
11	PR01_EXAMPLE_AAC_0003CAL2_A1.lcd	Unknown	3,623	13120	137,63	40912	4,81	12/03/15 21:34
12	PR01_EXAMPLE_AAC_0003CAL2_A2.lcd	Unknown	3,274	10649	63,9	33351	4,438	13/03/15 20:38
13	PR01_EXAMPLE_AAC_0003CAL3_A1.lcd	Unknown	3,601	26906	355,5	40686	4,79	12/03/15 21:49
14	PR01_EXAMPLE_AAC_0003CAL3_A2.lcd	Unknown	3,281	25133	160,21	60041	4,443	13/03/15 20:52
15	PR01_EXAMPLE_AAC_0003CAL4_A1.lcd	Unknown	3,582	95701	403,7	178621	4,727	12/03/15 22:03
16	PR01_EXAMPLE_AAC_0003CAL4_A2.lcd	Unknown	3,285	82130	674,31	8934	4,643	13/03/15 21:06
17	PR01_EXAMPLE_AAC_0003CAL5_A1.lcd	Unknown	3,574	170974	668,58	333542	4,709	12/03/15 22:18
18	PR01_EXAMPLE_AAC_0003CAL5_A2.lcd	Unknown	3,273	146759	962,33	343054	4,442	13/03/15 21:21
19	PR01_EXAMPLE_AAC_0003CAL7_A1.lcd	Unknown	3,566	311755	911,52	600743	4,703	12/03/15 22:32
20	PR01_EXAMPLE_AAC_0003CAL7_A2.lcd	Unknown	3,276	254604	641,13	602324	4,448	13/03/15 21:35
21	PR01_EXAMPLE_AAC_0003QC_A1.lcd	Unknown	3,308	1859	15,28	402	4,392	12/03/15 20:22
22	PR01_EXAMPLE_AAC_0003QC_A2.lcd	Unknown	3,245	1446	12,59	-----	-----	12/03/15 20:51
23	PR01_EXAMPLE_AAC_0003QC_B1.lcd	Unknown	-----	1316	-----	-----	-----	12/03/15 22:46
24	PR01_EXAMPLE_AAC_0003QC_B2.lcd	Unknown	3,556	1023	7,3	10183	4,881	12/03/15 23:16
25	PR01_EXAMPLE_AAC_0003QC_C1.lcd	Unknown	3,204	894	4,72	7933	4,411	13/03/15 01:40
26	PR01_EXAMPLE_AAC_0003QC_C2.lcd	Unknown	3,223	818	11,83	9236	4,647	13/03/15 04:18
27	PR01_EXAMPLE_AAC_0003QC_D1.lcd	Unknown	3,231	1133	11,08	4055	4,659	13/03/15 06:57
28	PR01_EXAMPLE_AAC_0003QC_D2.lcd	Unknown	3,205	1041	12,19	10461	4,407	13/03/15 09:35
29	PR01_EXAMPLE_AAC_0003QC_E1.lcd	Unknown	3,195	1107	11,48	9175	4,401	13/03/15 12:14
30	PR01_EXAMPLE_AAC_0003QC_E2.lcd	Unknown	3,191	1589	13,14	8222	4,607	13/03/15 14:52
31	PR01_EXAMPLE_AAC_0003QC_F1.lcd	Unknown	3,193	1983	18,96	5164	4,809	13/03/15 17:30
32	PR01_EXAMPLE_AAC_0003QC_G1.lcd	Unknown	3,21	2218	15,74	8093	4,412	13/03/15 19:26
33	PR01_EXAMPLE_AAC_0003QC_G2.lcd	Unknown	3,2	1982	14,03	9660	4,631	13/03/15 19:54
34	PR01_EXAMPLE_AAC_0003QC_H1.lcd	Unknown	3,208	2384	20,92	5009	4,634	13/03/15 21:50
35	PR01_EXAMPLE_AAC_0003QC_H2.lcd	Unknown	3,534	1863	10,69	11172	4,435	13/03/15 22:18
36	PR01_EXAMPLE_AAC_002_A1.lcd	Unknown	3,527	1767	8,54	6953	4,63	13/03/15 10:04
37	PR01_EXAMPLE_AAC_006_A1.lcd	Unknown	3,292	366	5,3	1788	4,826	13/03/15 02:52
38	PR01_EXAMPLE_AAC_006_B1.lcd	Unknown	3,517	1073	9,49	3623	4,414	13/03/15 17:59
39	PR01_EXAMPLE_AAC_010_A1.lcd	Unknown	3,396	308	3,64	13606	4,659	13/03/15 03:35
40	PR01_EXAMPLE_AAC_011_A1.lcd	Unknown	3,534	2262	7,8	15780	4,414	13/03/15 15:21
41	PR01_EXAMPLE_AAC_017_A1.lcd	Unknown	3,528	1569	9,3	13228	4,412	13/03/15 17:16
42	PR01_EXAMPLE_AAC_020_A1.lcd	Unknown	3,392	452	2,82	3887	4,826	13/03/15 09:06
43	PR01_EXAMPLE_AAC_020_B1.lcd	Unknown	3,516	1617	6,72	12239	4,568	13/03/15 11:31
44	PR01_EXAMPLE_AAC_021_A1.lcd	Unknown	3,397	435	1,34	2925	4,683	12/03/15 23:44
45	PR01_EXAMPLE_AAC_023_A1.lcd	Unknown	3,519	2207	11,75	-----	-----	13/03/15 15:07
46	PR01_EXAMPLE_AAC_025_A1.lcd	Unknown	3,52	1626	15,16	5772	4,618	13/03/15 01:54
47	PR01_EXAMPLE_AAC_027_A1.lcd	Unknown	3,544	1628	10,1	6972	4,624	13/03/15 02:37
48	PR01_EXAMPLE_AAC_028_A1.lcd	Unknown	3,518	1668	19,11	14022	4,638	13/03/15 18:57
49	PR01_EXAMPLE_AAC_030_A1.lcd	Unknown	3,545	1904	13,13	8443	4,61	13/03/15 04:04
50	PR01_EXAMPLE_AAC_034_A1.lcd	Unknown	3,538	1222	7	5037	4,42	13/03/15 07:40
51	PR01_EXAMPLE_AAC_040_A1.lcd	Unknown	3,545	1976	10,92	9200	4,601	13/03/15 07:54
52	PR01_EXAMPLE_AAC_043_A1.lcd	Unknown	3,37	481	3,15	20833	4,444	13/03/15 08:09
53	PR01_EXAMPLE_AAC_047_A1.lcd	Unknown	3,526	2246	11,94	5458	4,663	13/03/15 18:28
54	PR01_EXAMPLE_AAC_053_A1.lcd	Unknown	3,525	1622	8,1	2818	4,72	13/03/15 13:26
55	PR01_EXAMPLE_AAC_053_B1.lcd	Unknown	3,535	1246	7,58	6822	4,76	13/03/15 07:26
56	PR01_EXAMPLE_AAC_058_A1.lcd	Unknown	3,527	967	9,57	5293	4,4	13/03/15 13:55
57	PR01_EXAMPLE_AAC_062_A1.lcd	Unknown	3,531	1705	9,04	20204	4,397	13/03/15 10:33
58	PR01_EXAMPLE_AAC_065_A1.lcd	Unknown	3,527	1342	6,76	10769	4,404	13/03/15 12:57
59	PR01_EXAMPLE_AAC_066_A1.lcd	Unknown	3,538	1072	4,67	7733	4,615	13/03/15 04:33
60	PR01_EXAMPLE_AAC_069_A1.lcd	Unknown	3,54	1232	7,68	9224	4,694	13/03/15 05:02
61	PR01_EXAMPLE_AAC_069_B1.lcd	Unknown	3,516	1024	4,76	8294	4,657	13/03/15 15:50
